#min_wavelength max_wavelength A_med A_lower_err A_upper_err phi_med phi_lower_err phi_upper_err Fp_med Fp_lower_err Fp_upper_err RpRs_med RpRs_lower_err RpRs_upper_err night_Fp_med night_Fp_lower_err night_Fp_upper_err lnprob
5.0759 5.4875 6.451002865967902e-05 3.044880284846462e-05 3.2985189088860967e-05 -59.51322985149304 23.201207576693264 8.709901608510265 0.00013362871202378593 2.8428548209023457e-05 3.0442425062099902e-05 0.11581805521913528 0.00015284667539446073 0.00015481051473767438 7.108045080726248e-05 6.0376398235622775e-05 7.70683411572972e-05 143105.5143692845
5.5504 5.947 0.00010198586388770851 2.8108889403056218e-05 2.4864269985023038e-05 -43.00665457628321 6.298864602819819 6.806436429942636 0.0001835682778444099 3.103711873315396e-05 3.002401642534773e-05 0.11577254007883067 0.00015905406807832645 0.00016236582556483636 3.3063996314363996e-05 4.891833865805435e-05 5.725472495484899e-05 141984.1287964571
6.0 6.4816 0.00010021010990210321 2.801345188971013e-05 2.343664716493244e-05 -27.311504435209617 7.3102676591018145 10.544742872415682 0.00022753305640805434 2.875653337156033e-05 2.9939866391377978e-05 0.11556855922226839 0.00015828697938050085 0.00015857516340742062 5.204958228570796e-05 4.9423774473496725e-05 5.629901057456702e-05 142933.57856672403
6.5277 6.9879 0.0001866376489416035 2.670810963511093e-05 2.222426477037695e-05 -51.86973950312476 3.4240169340367927 3.460316074834182 0.00024084697589342823 3.3061574072787057e-05 3.28258932193923e-05 0.11605040147752385 0.0001721619324861895 0.00017455333012861285 1.0586997467962485e-05 4.544184831777742e-05 5.202371863765028e-05 140221.07777594088
7.0284 7.4754 0.00016134945488027679 2.3353086391252785e-05 1.742216718471793e-05 -16.294716321678255 6.862539541577483 9.754494487837917 0.0003239946231122423 3.854977427815827e-05 3.8780618916666864e-05 0.11570542707776713 0.00018125443900578186 0.00018139459755295295 1.7317470717587613e-05 5.21818183371643e-05 6.458613382629767e-05 139197.5345224552
7.5104 7.981 0.00025663761353042844 1.9941713549242958e-05 1.5165020959688772e-05 -39.93742973012887 3.0784207181054626 3.553102832802864 0.0004260095467422917 4.092351760521715e-05 4.554941995276384e-05 0.1156507127671244 0.00019988131233757145 0.000200343175463219 3.303820314595949e-05 4.539704656273464e-05 5.571573243599146e-05 137293.5792337225
8.0126 8.4971 0.000272327299151724 2.504623360461512e-05 1.9484810321487866e-05 -60.713944783259066 2.4201408890261646 2.5982445065860063 0.0004741528328267878 4.0368431250999474e-05 3.922338118317163e-05 0.11595042648724699 0.00021388315756294685 0.00021856537089555428 0.0002063743690800699 4.654510311549162e-05 5.2987397558998904e-05 135429.97719907772
8.5259 8.9973 0.00012927045386261813 4.508063682502511e-05 3.220443637790425e-05 -45.78420581863684 7.49790423507654 8.570859781263522 0.0006308507199959709 4.6687741774223434e-05 4.494141633357531e-05 0.11611336671596909 0.0002523953661098671 0.0002472461257051195 0.000452440504421208 6.795094777144401e-05 8.171804079938979e-05 132874.35002700175
9.024 9.4828 0.00019167948214844765 1.9892803525283263e-05 2.053420028020898e-05 -57.29549996127121 4.058684126821767 4.516598742541781 0.0006038737121892635 4.8635224423017385e-05 4.900424527675817e-05 0.11519347367146546 0.00026195240212983917 0.00026908965702140963 0.0003967994868635253 5.1946045844082904e-05 5.277159906158621e-05 131368.75928981774
9.5073 9.9775 0.00026577351528857664 3.435010060499357e-05 2.9438584536637205e-05 -52.56659125060831 3.5136034556044606 3.9750260116767038 0.0007578636368316808 5.721192432581591e-05 5.6809136888692226e-05 0.11587196858709994 0.0002830924819859637 0.00028875973554581824 0.00043590920009018797 7.096385752970654e-05 7.403262892504944e-05 129590.45521302827
10.0 10.479 0.00029745885553489294 3.5584878850078124e-05 3.287692127458639e-05 -71.39303846107481 3.1078410119152124 3.2502952871305553 0.0008810837168748328 6.974341305987963e-05 6.916060567799059e-05 0.11669141292217201 0.0003431362989748804 0.0003342809298995941 0.0006908893497409749 7.934914558212268e-05 8.09136091588701e-05 125628.39274764954
10.5 10.9845 0.00042237296045299867 3.3102995189274436e-05 3.44896062949085e-05 -64.35115974692638 3.170882918851376 3.260296027691915 0.0009618255819129922 8.267965979511308e-05 8.323595794171507e-05 0.11626382396851184 0.00047209328776826043 0.00045908795742646835 0.0005959930416787649 8.289871647920689e-05 8.515514049203538e-05 119331.79032278445
11.0039 11.4927 0.00038581556040151986 4.486184766422374e-05 5.096245892161251e-05 -45.559831296023575 5.389085195447926 6.371660937861456 0.00117391249979319 0.00011424885751676263 0.00011000541662068699 0.11723736669166986 0.0006465055091953581 0.0006373385710851248 0.0006315909202304487 0.00012112618609695018 0.00011961776112793252 113000.22342309121
11.5109 11.9831 0.00030541419572070185 4.724376698093518e-05 5.0363472705562185e-05 -18.39003120427287 11.815849721237477 13.201993718697418 0.0011797475216511555 0.00015026590881049573 0.00014832278213860236 0.1152706871825928 0.0008613475218185312 0.0008910082623854315 0.0006098689963240969 0.00015730731066424962 0.00015993011472667117 106252.1440861013
